priority,route_template,historical_url_count,owasp_categories,rationale,source_count,sources,example_url_redacted
90,/sso-login,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Federated/SSO redirect or seamless-login boundary",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/sso-login
88,/events/{id},7,A01 Broken Access Control,Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/events/49879
88,/trips/{id_placeholder},1,A01 Broken Access Control,Direct object reference in trip/event/approval route,2,"all_exact_host_urls_sensitive,api_otx",https://app.perk.com/trips/%s
88,/trips/{id},27,A01 Broken Access Control,Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/trips/35873713
88,/trips/{id}/itinerary,7,A01 Broken Access Control,Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/trips/31623796/itinerary
88,/trips/{id}/search/hotels/{uuid}/map,2,A01 Broken Access Control,Direct object reference in trip/event/approval route,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/trips/34357086/search/hotels/b0dc2743-f1eb-4207-aaa1-72d19c90c2e7/map
88,/void/trips/{id},3,A01 Broken Access Control,Direct object reference in trip/event/approval route,5,"all_exact_host_urls_sensitive,api_otx,api_urlscan,gau_otx,gau_urlscan",https://app.perk.com/void/trips/34451607
87,/config/env.js,1,A05 Security Misconfiguration; A08 Software and Data Integrity Failures,Runtime environment/configuration JavaScript,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/config/env.js
84,/company/integrations,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations
84,/company/integrations/airhelp,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/airhelp
84,/company/integrations/circula,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/circula
84,/company/integrations/divvy,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/divvy
84,/company/integrations/expensifyv2,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/expensifyv2
84,/company/integrations/hibob,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/hibob
84,/company/integrations/moss,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/moss
84,/company/integrations/pleo,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/pleo
84,/company/integrations/ramp,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/ramp
84,/company/integrations/soldo,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/soldo
84,/company/integrations/spendesk,1,A01 Broken Access Control; A08 Software and Data Integrity Failures,Company-scoped integration configuration surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/company/integrations/spendesk
82,/account/trip-settings,1,A01 Broken Access Control; A07 Identification and Authentication Failures,Account-scoped settings route,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/account/trip-settings
75,/FR/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/FR/signup
75,/api-token-refresh/,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/api-token-refresh/
75,/api-token-session/,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/api-token-session/
75,/de/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/de/signup
75,/en-US/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",5,"all_exact_host_urls_sensitive,api_otx,gau_otx,gau_wayback,waybackurls",https://app.perk.com/en-US/signup
75,/en-US/signup?_gl=,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/en-US/signup?_gl=[TRACKING_REDACTED]
75,/en-ca/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/en-ca/signup
75,/en/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/en/signup
75,/it/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/it/signup
75,/login,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",7,"all_exact_host_urls_sensitive,api_otx,api_urlscan,gau_otx,gau_urlscan,gau_wayback,waybackurls",https://app.perk.com/login
75,/login?coming_from=,1,A03 Injection; A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface; Client-controlled navigation parameter on login",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/login?coming_from=[REDACTED]
75,/nl/signup,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/nl/signup
75,/onboard,2,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,api_urlscan,gau_urlscan",http://app.perk.com/onboard
75,/onboard/,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/onboard/
75,/signup/,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/signup/
75,/signup/?_gl=,1,A07 Identification and Authentication Failures,"Authentication, onboarding, or session lifecycle surface",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/signup/?_gl=[TRACKING_REDACTED]
72,/events,1,A01 Broken Access Control,Authenticated object collection or user-task surface,3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/events
72,/itinerary,1,A01 Broken Access Control,Authenticated object collection or user-task surface,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/itinerary
72,/people,1,A01 Broken Access Control,Authenticated object collection or user-task surface,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/people
72,/spend/,1,A01 Broken Access Control,Authenticated object collection or user-task surface,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/spend/
72,/spend/my-tasks,1,A01 Broken Access Control,Authenticated object collection or user-task surface,4,"all_exact_host_urls_sensitive,api_otx,api_urlscan,gau_otx",https://app.perk.com/spend/my-tasks
72,/trips,1,A01 Broken Access Control,Authenticated object collection or user-task surface,3,"all_exact_host_urls_sensitive,api_otx,gau_otx",https://app.perk.com/trips
72,/trips/,2,A01 Broken Access Control,Authenticated object collection or user-task surface,4,"all_exact_host_urls_sensitive,api_otx,api_urlscan,gau_otx",http://app.perk.com/trips/
55,/mfe-access/assets/adjust-smart-banner-CaAePrNf-CmvYBegn.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/adjust-smart-banner-CaAePrNf-CmvYBegn.js
55,/mfe-access/assets/adjust-smart-banner-DLXRz-jR-Cvclubxh.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/adjust-smart-banner-DLXRz-jR-Cvclubxh.js
55,/mfe-access/assets/index-0JPtUPS_.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-0JPtUPS_.js
55,/mfe-access/assets/index-BaRf4GwK.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-BaRf4GwK.js
55,/mfe-access/assets/index-Bpn1JNcG.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-Bpn1JNcG.js
55,/mfe-access/assets/index-CAm1PMql.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-CAm1PMql.js
55,/mfe-access/assets/index-CsXd1saF.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-CsXd1saF.js
55,/mfe-access/assets/index-CuTrR4mO.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-CuTrR4mO.js
55,/mfe-access/assets/index-D84ivIOG.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/index-D84ivIOG.js
55,/mfe-access/assets/startRecording-BkOcwzqn-DV6xPK1i.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/startRecording-BkOcwzqn-DV6xPK1i.js
55,/mfe-access/assets/startRecording-BwKqB_8u-DsM6W7Jd.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/startRecording-BwKqB_8u-DsM6W7Jd.js
55,/mfe-access/assets/translations-en-US-Bu0K7h9N.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/translations-en-US-Bu0K7h9N.js
55,/mfe-access/assets/translations-en-US-CDE1jURF.js,1,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,"Authentication micro-frontend JavaScript suitable for sink, route, and secret review",3,"all_exact_host_urls_sensitive,gau_wayback,waybackurls",https://app.perk.com/mfe-access/assets/translations-en-US-CDE1jURF.js
