candidate_index,priority,route_template,url_redacted,owasp_categories,method,anonymous_status,authenticated_status,anonymous_body_kind,authenticated_body_kind,outcome,reason
16,92,/checkout/{id}/,https://app.perk.com/checkout/35855038/,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
17,92,/trips/{id}/confirm,https://app.perk.com/trips/36422126/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
18,92,/trips/{id}/confirm,https://app.perk.com/trips/36459484/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
19,92,/trips/{id}/confirm,https://app.perk.com/trips/36505512/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
20,92,/trips/{id}/confirm,https://app.perk.com/trips/36555456/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
21,92,/trips/{id}/confirm,https://app.perk.com/trips/36650084/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
22,92,/trips/{id}/confirm,https://app.perk.com/trips/36686426/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
23,92,/trips/{id}/confirm,https://app.perk.com/trips/36728550/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
24,92,/trips/{id}/confirm,https://app.perk.com/trips/36746437/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
25,92,/trips/{id}/confirm,https://app.perk.com/trips/36773196/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
26,92,/trips/{id}/confirm,https://app.perk.com/trips/36778304/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
27,92,/trips/{id}/confirm,https://app.perk.com/trips/36787473/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
28,92,/trips/{id}/confirm,https://app.perk.com/trips/36792131/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
29,92,/trips/{id}/confirm,https://app.perk.com/trips/36797866/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
30,92,/trips/{id}/confirm,https://app.perk.com/trips/36836712/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
31,92,/trips/{id}/confirm,https://app.perk.com/trips/36941196/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
32,92,/trips/{id}/confirm,https://app.perk.com/trips/36963163/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
33,92,/trips/{id}/confirm,https://app.perk.com/trips/36972362/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
34,92,/trips/{id}/confirm,https://app.perk.com/trips/37005256/confirm,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
35,92,/trips/{id}/itinerary/modify-cancel/inprogress,https://app.perk.com/trips/37630817/itinerary/modify-cancel/inprogress,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
36,92,/void/trips/{id}/itinerary/involuntary-changes/{id},https://app.perk.com/void/trips/36533121/itinerary/involuntary-changes/17026,A01 Broken Access Control; A04 Insecure Design,HEAD,200,200,not_read_head,not_read_head,safe_method_only,State-looking browser route tested with HEAD only; no action or side effect was attempted.
37,90,/api/identity/perk-seamless-login/,https://app.perk.com/api/identity/perk-seamless-login/,A07 Identification and Authentication Failures,GET,401,200,json,json,auth_control_enforced,Anonymous request was denied (401); the supplied actor received only an authenticated self-token shape (200).
38,90,/api/v2/federated-login-redirect/,https://app.perk.com/api/v2/federated-login-redirect/,A07 Identification and Authentication Failures,GET,200,200,json,json,no_data_bearing_response,Both modes returned the same empty JSON list; bounded redirect variants were not reflected or followed.
39,90,/sso-login,https://app.perk.com/sso-login,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
40,88,/events/{id},https://app.perk.com/events/49879,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
41,88,/events/{id},https://app.perk.com/events/49920,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
42,88,/events/{id},https://app.perk.com/events/50278,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
43,88,/events/{id},https://app.perk.com/events/51312,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
44,88,/events/{id},https://app.perk.com/events/51721,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
45,88,/events/{id},https://app.perk.com/events/53656,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
46,88,/events/{id},https://app.perk.com/events/54193,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
47,88,/trips/{id_placeholder},https://app.perk.com/trips/%s,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
48,88,/trips/{id},https://app.perk.com/trips/35873713,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
49,88,/trips/{id},https://app.perk.com/trips/36134752,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
50,88,/trips/{id},https://app.perk.com/trips/36152247,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
51,88,/trips/{id},https://app.perk.com/trips/36337250,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
52,88,/trips/{id},https://app.perk.com/trips/36488774,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
53,88,/trips/{id},https://app.perk.com/trips/36497755,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
54,88,/trips/{id},https://app.perk.com/trips/36522628,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
55,88,/trips/{id},https://app.perk.com/trips/36580887,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
56,88,/trips/{id},https://app.perk.com/trips/36649740,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
57,88,/trips/{id},https://app.perk.com/trips/36681020,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
58,88,/trips/{id},https://app.perk.com/trips/36716855,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
59,88,/trips/{id},https://app.perk.com/trips/36769663,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
60,88,/trips/{id},https://app.perk.com/trips/36778304,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
61,88,/trips/{id},https://app.perk.com/trips/36787473,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
62,88,/trips/{id},https://app.perk.com/trips/36802006,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
63,88,/trips/{id},https://app.perk.com/trips/36842938,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
64,88,/trips/{id},https://app.perk.com/trips/36848899,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
65,88,/trips/{id},https://app.perk.com/trips/36975689,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
66,88,/trips/{id},https://app.perk.com/trips/37245935,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
67,88,/trips/{id},https://app.perk.com/trips/38102826,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
68,88,/trips/{id},https://app.perk.com/trips/38402185,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
69,88,/trips/{id},https://app.perk.com/trips/38881697,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
70,88,/trips/{id},https://app.perk.com/trips/38964819,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
71,88,/trips/{id},https://app.perk.com/trips/38977119,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
72,88,/trips/{id},https://app.perk.com/trips/39109279,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
73,88,/trips/{id},https://app.perk.com/trips/39156947,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
74,88,/trips/{id},https://app.perk.com/trips/39157759,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
75,88,/trips/{id}/itinerary,https://app.perk.com/trips/31623796/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
76,88,/trips/{id}/itinerary,https://app.perk.com/trips/34765517/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
77,88,/trips/{id}/itinerary,https://app.perk.com/trips/35006130/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
78,88,/trips/{id}/itinerary,https://app.perk.com/trips/36155049/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
79,88,/trips/{id}/itinerary,https://app.perk.com/trips/36306913/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
80,88,/trips/{id}/itinerary,https://app.perk.com/trips/36757097/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
81,88,/trips/{id}/itinerary,https://app.perk.com/trips/36830843/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
82,88,/trips/{id}/search/hotels/{uuid}/map,https://app.perk.com/trips/34357086/search/hotels/b0dc2743-f1eb-4207-aaa1-72d19c90c2e7/map,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
83,88,/trips/{id}/search/hotels/{uuid}/map,https://app.perk.com/trips/36737556/search/hotels/7812126e-fe22-4fdc-8e50-e45fd34d2377/map,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
84,88,/void/trips/{id},https://app.perk.com/void/trips/34451607,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
85,88,/void/trips/{id},https://app.perk.com/void/trips/35026295,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
86,88,/void/trips/{id},https://app.perk.com/void/trips/35442869,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
87,87,/config/env.js,https://app.perk.com/config/env.js,A05 Security Misconfiguration; A08 Software and Data Integrity Failures,GET,200,200,other,other,public_client_config_only,Public browser configuration contained client-side identifiers/tokens but no credential-format secret or proven privileged use.
88,84,/company/integrations,https://app.perk.com/company/integrations,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
89,84,/company/integrations/airhelp,https://app.perk.com/company/integrations/airhelp,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
90,84,/company/integrations/circula,https://app.perk.com/company/integrations/circula,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
91,84,/company/integrations/divvy,https://app.perk.com/company/integrations/divvy,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
92,84,/company/integrations/expensifyv2,https://app.perk.com/company/integrations/expensifyv2,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
93,84,/company/integrations/hibob,https://app.perk.com/company/integrations/hibob,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
94,84,/company/integrations/moss,https://app.perk.com/company/integrations/moss,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
95,84,/company/integrations/pleo,https://app.perk.com/company/integrations/pleo,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
96,84,/company/integrations/ramp,https://app.perk.com/company/integrations/ramp,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
97,84,/company/integrations/soldo,https://app.perk.com/company/integrations/soldo,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
98,84,/company/integrations/spendesk,https://app.perk.com/company/integrations/spendesk,A01 Broken Access Control; A08 Software and Data Integrity Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
99,82,/account/trip-settings,https://app.perk.com/account/trip-settings,A01 Broken Access Control; A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
100,75,/FR/signup,https://app.perk.com/FR/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
101,75,/api-token-refresh/,https://app.perk.com/api-token-refresh/,A07 Identification and Authentication Failures,GET,405,405,json,json,method_not_allowed,GET was rejected (405) in both modes; POST was used only for in-memory refresh of the supplied actor.
102,75,/api-token-session/,https://app.perk.com/api-token-session/,A07 Identification and Authentication Failures,GET,401,200,html,json,auth_control_enforced,Anonymous request was denied (401); valid authentication received the expected session-token response.
103,75,/de/signup,https://app.perk.com/de/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
104,75,/en-US/signup,https://app.perk.com/en-US/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
105,75,/en-US/signup?_gl=,https://app.perk.com/en-US/signup?_gl=[TRACKING_REDACTED],A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
106,75,/en-ca/signup,https://app.perk.com/en-ca/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
107,75,/en/signup,https://app.perk.com/en/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
108,75,/it/signup,https://app.perk.com/it/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
109,75,/login,https://app.perk.com/login,A07 Identification and Authentication Failures,GET,202,202,html,html,blocked_waf,HTTP and bounded browser checks remained on the AWS WAF interstitial; no external navigation or reflection was observed.
110,75,/login?coming_from=,https://app.perk.com/login?coming_from=[REDACTED],A03 Injection; A07 Identification and Authentication Failures,GET,202,202,html,html,blocked_waf,HTTP and bounded browser checks remained on the AWS WAF interstitial; no external navigation or reflection was observed.
111,75,/nl/signup,https://app.perk.com/nl/signup,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
112,75,/onboard,http://app.perk.com/onboard,A07 Identification and Authentication Failures,GET,301,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
113,75,/onboard,https://app.perk.com/onboard,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
114,75,/onboard/,https://app.perk.com/onboard/,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
115,75,/signup/,https://app.perk.com/signup/,A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
116,75,/signup/?_gl=,https://app.perk.com/signup/?_gl=[TRACKING_REDACTED],A07 Identification and Authentication Failures,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
117,72,/events,https://app.perk.com/events,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
118,72,/itinerary,https://app.perk.com/itinerary,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
119,72,/people,https://app.perk.com/people,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
120,72,/spend/,https://app.perk.com/spend/,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
121,72,/spend/my-tasks,https://app.perk.com/spend/my-tasks,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
122,72,/trips,https://app.perk.com/trips,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
123,72,/trips/,http://app.perk.com/trips/,A01 Broken Access Control,GET,301,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
124,72,/trips/,https://app.perk.com/trips/,A01 Broken Access Control,GET,200,200,html,html,spa_shell_only,Returned frontend HTML shell rather than object/API data; no authorization impact was demonstrated.
125,55,/mfe-access/assets/adjust-smart-banner-CaAePrNf-CmvYBegn.js,https://app.perk.com/mfe-access/assets/adjust-smart-banner-CaAePrNf-CmvYBegn.js,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,GET,404,404,other,other,dead_historical_asset,Historical JavaScript asset returned 404 in both modes.
126,55,/mfe-access/assets/adjust-smart-banner-DLXRz-jR-Cvclubxh.js,https://app.perk.com/mfe-access/assets/adjust-smart-banner-DLXRz-jR-Cvclubxh.js,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,GET,404,404,other,other,dead_historical_asset,Historical JavaScript asset returned 404 in both modes.
127,55,/mfe-access/assets/index-0JPtUPS_.js,https://app.perk.com/mfe-access/assets/index-0JPtUPS_.js,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,GET,404,404,other,other,dead_historical_asset,Historical JavaScript asset returned 404 in both modes.
128,55,/mfe-access/assets/index-BaRf4GwK.js,https://app.perk.com/mfe-access/assets/index-BaRf4GwK.js,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,GET,404,404,other,other,dead_historical_asset,Historical JavaScript asset returned 404 in both modes.
129,55,/mfe-access/assets/index-Bpn1JNcG.js,https://app.perk.com/mfe-access/assets/index-Bpn1JNcG.js,A03 Injection; A05 Security Misconfiguration; A08 Software and Data Integrity Failures,GET,404,404,other,other,dead_historical_asset,Historical JavaScript asset returned 404 in both modes.
